lpermno,gvkey,datadate,SIC4,FF12,fyear,l1_TA,l1_lnTA,l1_RD_A,l1_ROA,l1_ROE,l1_LEVERAGE,l1_DY,l1_CPNA,l1_CEOAge,l1_CEOChair,l1_CEOTenure,l1_CEOFemale,CEOPay,lnCEOPay
26084,3342,31dec2018,7370,"Business Equipment -- Computers, Software, and Electronic Equipment",2018,118.50425,4.7749486,0,.0063148821,.010251323,.034747522,0,.095908642,62,0,2,0,732.36029,13.504028
26201,3358,31jul2018,3663,"Business Equipment -- Computers, Software, and Electronic Equipment",2018,772.53888,6.6496825,.065211408,.019021396,.032962617,.23532112,.033333335,.052952409,81,1,2,0,4240.9697,15.260303
56274,3362,31may2019,2000,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",2018,9646.2559,9.174325,.0045526735,.076432936,.21601109,.36727467,.02293578,.01247381,53,0,3,0,13049.705,16.384275
79618,3369,30jun2018,6794,Finance,2018,8.8630981,2.1818964,0,-1.2745652,5.8523331,.39272994,0,.049587686,,,,,,
13625,3382,31dec2018,7370,"Business Equipment -- Computers, Software, and Electronic Equipment",2018,536.44305,6.2849603,.090841435,.028950665,.053171638,0,0,.78134596,43,1,15,0,.59931952,6.3957949
26463,3394,31dec2018,4941,Utilities,2018,834.4859,6.7268157,0,.027875472,.08532507,.31022063,.020466818,.0040417132,,,,,,
89317,3410,31dec2018,6513,Finance,2018,1219.4624,7.1061654,0,-.012041065,-.083602495,.76163107,0,.072111212,,,,,,
11404,3413,31dec2018,4931,Utilities,2018,44669.238,10.707041,0,.031697534,.098910362,.34516016,.032489698,.017856009,56,1,5,0,7267.6821,15.798948
26607,3424,31dec2018,5812,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018,987.49738,6.895174,0,.047077619,.087639675,.24797478,0,.083390549,39,1,8,0,816.01752,13.612191
26650,3429,31dec2018,6510,Finance,2018,432.784,6.0702386,0,.089500785,.22651456,.4200888,.0028346456,.028841464,,,,,,
23229,3439,31dec2018,4931,Utilities,2018,21401.049,9.9711952,0,.019956617,.10358027,.45496747,.028118392,.0087085906,48,0,2,1,7336.165,15.808327
30840,3465,31dec2018,3585,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",2018,76.587906,4.338439,0,.022039302,.033467103,.042429898,0,.0061842846,,,,,,
91983,3469,31dec2018,1311,"Oil, Gas, and Coal Extraction and Products",2018,13183.837,9.4867468,0,.055596225,.15385222,.44745401,0,.0031013547,,,,,,
27430,3502,31dec2018,3011,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",2018,2421.1829,7.7920113,.022958238,.036583472,.084642299,.1291734,.011881188,.16622341,55,0,2,0,3814.2944,15.154266
65541,3504,31oct2018,3851,"Healthcare, Medical Equipment, and Drugs",2018,4511.1187,8.4143,.014242493,.076748922,.11742293,.24136084,.00024972946,.018616743,70,0,11,0,5500.9736,15.520435
59248,3505,31dec2018,2082,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",2018,28083.098,10.242923,0,.046705611,.10681153,.37647495,.019982941,.014033653,54,0,3,0,7563.106,15.838793
22293,3532,31dec2018,3679,"Business Equipment -- Computers, Software, and Electronic Equipment",2018,25527.135,10.147497,.031279553,-.018076671,-.037095089,.18651342,.019381057,.18626225,57,1,13,0,13334.198,16.405842
27511,3562,31dec2018,6798,Finance,2018,3903.8291,8.2697134,0,.051437479,.078215808,.26000643,.032432433,.051450733,61,1,9,0,3733.1594,15.132766
27562,3570,31jul2018,5812,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018,1413.0653,7.2535167,0,.13265879,.3707923,.26282209,.052428432,.11830124,59,0,7,1,5652.8271,15.547667
20204,3580,31dec2018,3490,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",2018,3336.4282,8.1126566,.016279394,.047808543,.12771335,.20690136,.014794889,.24458838,53,0,4,0,6172.4663,15.635609
76274,3581,31dec2018,6411,Finance,2018,731.56866,6.595191,0,.03511072,.1517387,.28640905,.02079002,.073591985,,,,,,
14229,3592,31dec2018,6141,Finance,2018,18042.803,9.8005018,0,.0094169714,.055826724,.77445585,0,.082739025,,,,,,
17726,3619,31dec2018,3411,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",2018,9900.1904,9.2003088,.0036575072,.030291663,.53743762,.50107849,0,.041410293,54,0,2,0,7827.5327,15.873158
59256,3622,31mar2019,2211,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",2018,52.53331,3.9614475,0,.053392481,.076835036,.16715859,.054237287,.0038143562,,,,,,
